timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1557395572361,0,my unit test,1000,Test successful,Thread Group 1-1,text,true,,0,0,1,1,null,0,0,0
1557395572494,0,my unit test,1000,Test successful,Thread Group 1-2,text,true,,0,0,1,1,null,0,0,0
1557395572591,0,my unit test,1000,Test successful,Thread Group 1-3,text,true,,0,0,1,1,null,0,0,0
1557395572699,0,my unit test,1000,Test successful,Thread Group 1-4,text,true,,0,0,1,1,null,0,0,0
1557395572791,0,my unit test,1000,Test successful,Thread Group 1-5,text,true,,0,0,1,1,null,0,0,0
1557395572885,1,my unit test,1000,Test successful,Thread Group 1-6,text,true,,0,0,1,1,null,0,0,0
1557395572994,0,my unit test,1000,Test successful,Thread Group 1-7,text,true,,0,0,1,1,null,0,0,0
1557395573088,0,my unit test,1000,Test successful,Thread Group 1-8,text,true,,0,0,1,1,null,0,0,0
1557395573197,0,my unit test,1000,Test successful,Thread Group 1-9,text,true,,0,0,1,1,null,0,0,0
1557395573291,0,my unit test,1000,Test successful,Thread Group 1-10,text,true,,0,0,1,1,null,0,0,0
1557395828697,0,my unit test,1000,Test successful,Thread Group 1-1,text,true,,0,0,1,1,null,0,0,0
1557395828807,0,my unit test,1000,Test successful,Thread Group 1-2,text,true,,0,0,1,1,null,0,0,0
1557395828894,0,my unit test,1000,Test successful,Thread Group 1-3,text,true,,0,0,1,1,null,0,0,0
1557395828993,0,my unit test,1000,Test successful,Thread Group 1-4,text,true,,0,0,1,1,null,0,0,0
1557395829091,0,my unit test,1000,Test successful,Thread Group 1-5,text,true,,0,0,1,1,null,0,0,0
1557395829199,0,my unit test,1000,Test successful,Thread Group 1-6,text,true,,0,0,1,1,null,0,0,0
1557395829280,0,my unit test,1000,Test successful,Thread Group 1-7,text,true,,0,0,1,1,null,0,0,0
1557395829376,0,my unit test,1000,Test successful,Thread Group 1-8,text,true,,0,0,1,1,null,0,0,0
1557395829477,0,my unit test,1000,Test successful,Thread Group 1-9,text,true,,0,0,1,1,null,0,0,0
1557395829583,0,my unit test,1000,Test successful,Thread Group 1-10,text,true,,0,0,1,1,null,0,0,0
